Irr_area_ha,Precip_mm,WTD_Rnd_Frst_m,WTD_USGS_m,aquifer_state,aquifer_region,aquifer,state,year,month
647752.5625,5.0848958402482666e-05,8.454126582824202,3.5427315526518064,CV_CA,CV_CA_Sacramento,CV,California,1986,7
927129.25,0.088408793530433,19.05876032782516,7.448410947712419,CV_CA,CV_CA_SanJoaquin,CV,California,1986,7
240575.5625,2.0607857635776563,24.322925429004037,21.886700924869622,SRP_ID,SRP_ID_West,SRP,Idaho,1986,7
,,,,SRP_ID,SRP_ID,SRP,Idaho,1986,7
670547.0,1.7497935989319842,27.597364403735632,24.07452615584598,CP_WA,CP_WA,CP,Washigton,1986,8
2119605.5,72.38512044919399,18.10660861929628,17.376569763931656,HPA_NE,HPA_NE,HPA,Nebraska,1986,8
62719.7109375,50.845264331714525,21.800786318663494,17.85321869721284,RG_NM,RG_NM,RG,New Mexico,1986,8
459596.09375,10.867825158706166,47.27235413227404,22.500168467855705,SRP_ID,SRP_ID_East,SRP,Idaho,1986,8
198363.0,36.464199159844895,46.839507472826085,13.69814078656829,BR_AZ,BR_AZ,BR,Arizona,1986,8
99697.1015625,32.51358137144992,6.0731589577414775,2.7785478486430306,RG_CO,RG_CO,RG,Colorado,1986,8
493466.9375,121.45453354297693,63.97469783107204,18.088654826567563,HPA_TX,HPA_TX_North,HPA,Texas,1986,8
34634.6953125,83.05695108148893,43.566433981997974,35.72882608148893,HPA_OK,HPA_OK,HPA,Oklahoma,1986,8
174328.15625,32.85467611643281,37.260467980295566,22.88390447922288,HPA_CO,HPA_CO,HPA,Colorado,1986,8
166122.75,5.137308294122869,25.540158757903697,18.00631991299716,CP_OR,CP_OR,CP,Oregon,1986,8
174377.5,7.894849298938935,13.110725882237432,16.04489734462971,BR_NV,BR_NV,BR,Nevada,1986,8
159808.09375,30.51712205497382,14.662402077656676,26.463328288612566,BR_UT,BR_UT,BR,Utah,1986,8
278661.4375,31.083206616186693,8.602828101120734,7.202315238642006,DBA_CO,DBA_CO,DBA,Colorado,1986,8
